db-1   | 2026-08-24 15:16:06.177 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=8 kB; lsn=0/25E5EE8, redo lsn=0/25E5EB0
db-1   | 2026-08-24 15:21:06.277 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:21:06.386 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=8 kB; lsn=0/25E74A8, redo lsn=0/25E7470
db-1   | 2026-08-24 15:26:06.486 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:26:06.595 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=6 kB, estimate=8 kB; lsn=0/25E8DA8, redo lsn=0/25E8D70
db-1   | 2026-08-24 15:31:06.696 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:31:06.806 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.002 s, average=0.001 s; distance=7 kB, estimate=8 kB; lsn=0/25EAA00, redo lsn=0/25EA9C8
db-1   | 2026-08-24 15:36:06.847 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:36:06.956 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=8 kB, estimate=8 kB; lsn=0/25ECB10, redo lsn=0/25ECAD8
db-1   | 2026-08-24 15:41:06.991 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:41:07.302 UTC [55] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.303 s, sync=0.003 s, total=0.312 s; sync files=3, longest=0.002 s, average=0.001 s; distance=17 kB, estimate=17 kB; lsn=0/25F0F10, redo lsn=0/25F0ED8
db-1   | 2026-08-24 15:46:06.403 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:46:06.712 UTC [55] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.303 s, sync=0.002 s, total=0.310 s; sync files=3, longest=0.002 s, average=0.001 s; distance=3 kB, estimate=15 kB; lsn=0/25F1B60, redo lsn=0/25F1B28
db-1   | 2026-08-24 15:51:06.786 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:51:06.895 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=14 kB; lsn=0/25F2C08, redo lsn=0/25F2BD0
db-1   | 2026-08-24 15:56:06.922 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 15:56:07.031 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=13 kB; lsn=0/25F3FA0, redo lsn=0/25F3F68
db-1   | 2026-08-24 16:01:06.131 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:01:06.241 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=12 kB; lsn=0/25F56A8, redo lsn=0/25F5670
db-1   | 2026-08-24 16:06:06.341 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:06:06.450 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=6 kB, estimate=12 kB; lsn=0/25F71F0, redo lsn=0/25F71B8
db-1   | 2026-08-24 16:11:06.543 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:11:06.653 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=11 kB; lsn=0/25F9040, redo lsn=0/25F9008
db-1   | 2026-08-24 16:16:06.753 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:16:06.863 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=1 kB, estimate=10 kB; lsn=0/25F9680, redo lsn=0/25F9648
db-1   | 2026-08-24 16:21:06.963 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:21:07.072 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=2 kB, estimate=9 kB; lsn=0/25FA1D8, redo lsn=0/25FA1A0
db-1   | 2026-08-24 16:26:06.173 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:26:06.281 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.002 s, average=0.001 s; distance=3 kB, estimate=9 kB; lsn=0/25FB020, redo lsn=0/25FAFE8
db-1   | 2026-08-24 16:31:06.299 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:31:06.408 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=8 kB; lsn=0/25FC1D8, redo lsn=0/25FC1A0
db-1   | 2026-08-24 16:36:06.467 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:36:06.576 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=8 kB; lsn=0/25FD780, redo lsn=0/25FD748
db-1   | 2026-08-24 16:41:06.676 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:41:06.785 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=6 kB, estimate=8 kB; lsn=0/25FF080, redo lsn=0/25FF048
db-1   | 2026-08-24 16:46:06.877 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:46:06.987 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.002 s, average=0.001 s; distance=7 kB, estimate=8 kB; lsn=0/2600CD8, redo lsn=0/2600CA0
db-1   | 2026-08-24 16:51:07.082 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:51:07.200 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.010 s, total=0.118 s; sync files=2, longest=0.009 s, average=0.005 s; distance=8 kB, estimate=8 kB; lsn=0/2602DB0, redo lsn=0/2602D78
db-1   | 2026-08-24 16:56:07.300 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 16:56:07.409 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=2 kB, estimate=7 kB; lsn=0/26036A8, redo lsn=0/2603670
db-1   | 2026-08-24 17:01:07.510 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:01:07.820 UTC [55] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.303 s, sync=0.003 s, total=0.311 s; sync files=3, longest=0.002 s, average=0.001 s; distance=17 kB, estimate=17 kB; lsn=0/2607DF0, redo lsn=0/2607DB8
db-1   | 2026-08-24 17:06:07.920 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:06:08.030 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=4 kB, estimate=16 kB; lsn=0/2608E98, redo lsn=0/2608E60
db-1   | 2026-08-24 17:11:07.119 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:11:07.228 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=15 kB; lsn=0/260A248, redo lsn=0/260A210
db-1   | 2026-08-24 17:16:07.274 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:16:07.382 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=14 kB; lsn=0/260B938, redo lsn=0/260B900
db-1   | 2026-08-24 17:21:07.459 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:21:07.569 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=6 kB, estimate=13 kB; lsn=0/260D480, redo lsn=0/260D448
db-1   | 2026-08-24 17:26:07.669 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:26:07.779 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=12 kB; lsn=0/260F2D0, redo lsn=0/260F298
db-1   | 2026-08-24 17:31:07.879 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:31:07.988 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=1 kB, estimate=11 kB; lsn=0/260F910, redo lsn=0/260F8D8
db-1   | 2026-08-24 17:36:08.010 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:36:08.119 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=2 kB, estimate=10 kB; lsn=0/2610468, redo lsn=0/2610430
db-1   | 2026-08-24 17:41:08.124 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:41:08.234 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.001 s, average=0.001 s; distance=3 kB, estimate=10 kB; lsn=0/26112B0, redo lsn=0/2611278
db-1   | 2026-08-24 17:46:08.335 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:46:08.445 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.002 s, average=0.001 s; distance=4 kB, estimate=9 kB; lsn=0/2612468, redo lsn=0/2612430
db-1   | 2026-08-24 17:51:08.546 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 17:51:08.655 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=9 kB; lsn=0/2613A48, redo lsn=0/2613A10
db-1   | 2026-08-24 17:56:08.755 UTC [55] LOG:  checkpoint starting: time
